from_channel,to_channel,transitions,probability
brazil_drawdown_pressure,brazil_drawdown_pressure,548,0.6379511059371362
brazil_drawdown_pressure,external_brazil_pressure,85,0.0989522700814901
brazil_drawdown_pressure,global_equity_pressure,74,0.08614668218859138
brazil_drawdown_pressure,fx_pressure,53,0.06169965075669383
brazil_drawdown_pressure,brazil_vol_pressure,50,0.05820721769499418
brazil_drawdown_pressure,vix_pressure,49,0.0570430733410943
brazil_vol_pressure,brazil_vol_pressure,502,0.7404129793510325
brazil_vol_pressure,external_brazil_pressure,61,0.08997050147492626
brazil_vol_pressure,global_equity_pressure,37,0.05457227138643068
brazil_vol_pressure,brazil_drawdown_pressure,35,0.051622418879056046
brazil_vol_pressure,vix_pressure,25,0.03687315634218289
brazil_vol_pressure,fx_pressure,18,0.02654867256637168
external_brazil_pressure,fx_pressure,223,0.4381139489194499
external_brazil_pressure,external_brazil_pressure,94,0.18467583497053044
external_brazil_pressure,brazil_drawdown_pressure,60,0.11787819253438114
external_brazil_pressure,vix_pressure,56,0.1100196463654224
external_brazil_pressure,global_equity_pressure,55,0.10805500982318271
external_brazil_pressure,brazil_vol_pressure,21,0.0412573673870334
fx_pressure,external_brazil_pressure,144,0.2807017543859649
fx_pressure,brazil_drawdown_pressure,91,0.17738791423001948
fx_pressure,vix_pressure,89,0.17348927875243664
fx_pressure,global_equity_pressure,81,0.15789473684210525
fx_pressure,brazil_vol_pressure,57,0.1111111111111111
fx_pressure,fx_pressure,51,0.09941520467836257
global_equity_pressure,fx_pressure,95,0.2560646900269542
global_equity_pressure,external_brazil_pressure,76,0.20485175202156333
global_equity_pressure,brazil_drawdown_pressure,69,0.18598382749326145
global_equity_pressure,global_equity_pressure,67,0.18059299191374664
global_equity_pressure,vix_pressure,36,0.09703504043126684
global_equity_pressure,brazil_vol_pressure,28,0.07547169811320754
vix_pressure,fx_pressure,73,0.237012987012987
vix_pressure,global_equity_pressure,57,0.18506493506493507
vix_pressure,brazil_drawdown_pressure,56,0.18181818181818182
vix_pressure,vix_pressure,53,0.17207792207792208
vix_pressure,external_brazil_pressure,49,0.1590909090909091
vix_pressure,brazil_vol_pressure,20,0.06493506493506493
